Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"","","30000","30000","30000"," 60 months"," 20.00%","794.82","D","D2","sales manager","10+ years","MORTGAGE","120000","Verified","Mar-2019","Current","n","","","credit_card","Credit card refinancing","103xx","NY","4.54","1","Oct-2002","0","12","","10","0","20588","32.6%","11","w","29705.18","29705.18","728.15","728.15","294.82","433.33","0.0","0.0","0.0","Apr-2019","794.82","May-2019","Apr-2019","0","42","1","Individual","","","","0","0","225624","1","0","0","0","","0","","1","7","5365","33","63100","1","0","1","7","22562","42512","32.6","0","0","","64","5","5","1","5","12","3","12","1","8","8","9","10","0","9","10","8","10","0","0","0","1","90","22.2","0","0","298100","20588","63100","0","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","32000","32000","32000"," 60 months"," 11.02%","696.08","B","B2","Teacher","10+ years","MORTGAGE","56000","Verified","Feb-2019","Current","n","","","other","Other","411xx","KY","18.97","2","Jul-2002","0","16","","9","0","3946","14%","20","w","31597.79","31597.79","656.9","656.90","402.21","254.69","0.0","0.0","0.0","Mar-2019","696.08","Apr-2019","Apr-2019","0","","1","Joint App","212000","31.92","Verified","0","0","207172","0","1","0","1","22","36742","","0","0","2917","14","28200","0","1","0","1","23019","14554","21.3","0","0","92","199","26","22","5","50","31","22","16","0","3","3","3","4","4","7","11","3","9","0","0","0","0","80","0","0","0","272362","40688","18500","49914","135185","May-2000","0","2","12","24","7","8","0","0","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","10000","10000","10000"," 36 months","  6.46%","306.31","A","A1","","< 1 year","RENT","75000","Source Verified","Feb-2019","Current","n","","","credit_card","Credit card refinancing","029xx","RI","25.01","0","Jan-2005","0","","103","13","1","25932","67.2%","19","w","9747.52","9747.52","299.13","299.13","252.48","46.65","0.0","0.0","0.0","Mar-2019","306.31","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","63930","0","3","1","2","9","37998","58","1","1","9008","66","38600","1","0","4","3","4918","4408","84.7","0","0","169","100","10","9","0","48","","9","","0","5","7","5","5","9","10","10","7","13","0","0","0","2","100","80","1","0","85879","63930","28900","47279","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","10000","10000","10000"," 60 months"," 12.40%","224.48","B","B4","","n/a","MORTGAGE","36000","Not Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","331xx","FL","28.63","0","Sep-2004","0","54","","6","0","7729","41.8%","11","w","9878.85","9878.85","210.7","210.70","121.15","89.55","0.0","0.0","0.0","Mar-2019","224.48","Apr-2019","Apr-2019","0","54","1","Individual","","","","0","0","107049","0","1","1","1","12","30899","","0","0","5792","42","18500","2","0","6","1","17842","5708","50.4","0","0","138","173","26","12","2","31","54","5","54","1","1","3","2","3","2","4","7","3","6","0","0","0","1","90.9","50","0","0","230852","38628","11500","35352","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","27000","27000","27000"," 36 months","  7.02%","833.93","A","A2","Marketing Manager","< 1 year","RENT","115000","Not Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","112xx","NY","16.6","0","Nov-2005","0","","","10","0","14767","12.7%","22","w","26324.02","26324.02","812.87","812.87","675.98","136.89","0.0","0.0","0.0","Mar-2019","833.93","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","44896","1","1","1","1","11","24066","77","2","3","6950","28","116700","0","0","0","4","4490","101933","12.7","0","0","159","135","3","3","0","3","","","","0","5","5","8","10","10","8","11","5","10","0","0","0","3","100","0","0","0","160699","44896","116700","31350","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","40000","40000","40000"," 36 months"," 11.02%","1309.93","B","B2","","< 1 year","RENT","130000","Source Verified","Feb-2019","Current","n","","","small_business","Business","900xx","CA","15.42","0","Oct-2004","0","58","","8","0","37102","80.7%","18","w","39057.40","39057.40","1260.95","1260.95","942.60","318.35","0.0","0.0","0.0","Mar-2019","1309.93","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","44757","0","2","0","1","18","7655","32","0","1","14229","64","46000","0","0","1","2","5595","4660","88.5","0","0","172","144","15","15","0","15","","11","","0","4","5","5","6","10","6","8","5","8","0","0","0","0","94.1","80","0","0","70202","44757","40500","24202","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","1600","1600","1600"," 36 months","  8.81%","50.74","A","A5","Cyber Security Analyst","1 year","RENT","89000","Source Verified","Feb-2019","Current","n","","","major_purchase","Major purchase","221xx","VA","10.14","0","Sep-2008","0","41","","11","0","8622","45.9%","15","f","1561.01","1561.01","49.17","49.17","38.99","10.18","0.0","0.0","0.0","Mar-2019","50.74","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","31629","2","3","0","0","28","23007","73","2","4","2839","63","18800","0","2","0","4","2875","5823","55.5","0","0","125","87","1","1","0","3","","22","41","0","5","8","5","5","7","8","8","8","11","0","0","0","2","92.9","20","0","0","50513","31629","13100","31713","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","14000","14000","14000"," 60 months"," 17.19%","349.37","C","C5","Assistant Administrator","10+ years","MORTGAGE","45000","Source Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","315xx","GA","19.71","0","Sep-1984","0","","","9","0","6316","28.2%","12","w","13851.18","13851.18","322.63","322.63","148.82","173.81","0.0","0.0","0.0","Mar-2019","349.37","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","115127","0","2","0","0","29","14134","44","1","1","3612","38","22400","0","1","0","1","12792","9939","37.9","0","0","158","413","10","10","1","10","","","","0","2","3","4","4","3","6","8","3","9","0","0","0","1","100","25","0","0","153860","20450","16000","31799","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","25000","25000","25000"," 36 months"," 11.71%","826.9","B","B3","DELIVERY DRIVER","< 1 year","RENT","68000","Source Verified","Feb-2019","In Grace Period","n","","","debt_consolidation","Debt consolidation","660xx","KS","27.02","0","Dec-2012","1","","","21","0","8194","20.6%","25","w","25000.00","25000.00","0.0","0.00","0.00","0.00","0.0","0.0","0.0","","0.0","May-2019","Apr-2019","0","","1","Individual","","","","0","0","63326","2","3","2","3","2","55132","83","2","4","4760","42","39800","2","4","6","7","3166","23424","19.5","0","0","54","74","3","2","0","10","","2","","0","3","7","12","12","6","18","19","7","21","0","0","0","4","100","0","0","0","98784","63326","29100","58984","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","2000","2000","1750"," 36 months"," 12.40%","66.82","B","B4","Heavy motor vehicle operator","3 years","MORTGAGE","45000","Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","125xx","NY","10.21","0","Sep-2002","1","","","8","0","14014","37%","15","f","1852.95","1621.33","164.06","143.55","147.05","17.01","0.0","0.0","0.0","Mar-2019","66.82","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","95896","2","0","0","0","109","0","","2","3","242","37","37900","0","3","1","3","11987","9762","5.2","0","0","143","197","2","2","1","2","","2","","0","3","4","3","6","2","7","12","4","8","0","0","0","2","100","0","0","0","137900","14014","10300","0","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
